fold,model,sha256,file,image_hemisphere,gt_angle,pred_angle,error,abs_error
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,49_0.png,left,9.662141085342668,9.366596545098249,-0.29554454024441945,0.29554454024441945
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,49_0.png,right,6.9359178256645295,7.227578466434997,0.29166064077046716,0.29166064077046716
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,6_0.png,left,4.4253044298018125,4.2682426469966614,-0.15706178280515104,0.15706178280515104
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,6_0.png,right,6.806427557056879,8.178646548620202,1.3722189915633232,1.3722189915633232
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,48_0.png,left,6.440773389490723,6.259940080651867,-0.1808333088388565,0.1808333088388565
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,48_0.png,right,5.952820643728408,5.699375029192733,-0.25344561453567493,0.25344561453567493
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,70_0.png,left,4.061052673311863,3.8807811693899783,-0.18027150392188496,0.18027150392188496
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,70_0.png,right,2.153575613800587,1.7958832413193533,-0.35769237248123353,0.35769237248123353
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,67_0.png,left,24.81975012622058,24.117014253584646,-0.7027358726359338,0.7027358726359338
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,67_0.png,right,4.127767133112025,4.447541059377368,0.3197739262653432,0.3197739262653432
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,9_0.png,left,14.453044611568382,13.274096919896566,-1.1789476916718158,1.1789476916718158
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,9_0.png,right,9.796741051314893,10.029771509153662,0.23303045783876897,0.23303045783876897
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,26_0.png,left,6.632115023107122,7.3861487380497834,0.7540337149426612,0.7540337149426612
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,26_0.png,right,0.5713142609381333,1.5161134145046375,0.9447991535665042,0.9447991535665042
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,63_0.png,left,7.006894964352403,7.451650053481923,0.44475508912951955,0.44475508912951955
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,63_0.png,right,2.6969165949626284,2.030081040711841,-0.6668355542507873,0.6668355542507873
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,30_0.png,left,7.3678039692899056,7.450736486172073,0.08293251688216774,0.08293251688216774
